article_id,apa_reference,doi,journal,year,scopus_q1_verified,quartile_verification_source,pdf_downloaded,exact_phrase,page_or_section,theme_code,why_it_matters_for_chapter,target_chapter_section
CLUSTER_A_CAMINO_ROUTES_001,"Amaro, S., Antunes, A., & Henriques, C. (2018). A closer look at Santiago de Compostela's pilgrims through the lens of motivations. Tourism Management. DOI: 10.1016/j.tourman.2017.09.007",10.1016/j.tourman.2017.09.007,Tourism Management,2018,Yes,"SCImago Tourism, Leisure and Hospitality Management ranking for 2018 shows Tourism Management as Q1; verified 2026-04-06.",Yes,"The results indicate that pilgrims are mostly motivated by spiritual aspects, by wanting new experiences and for the nature and sports experience. Interestingly, religious motivations are the least important.",Abstract,PILG,Supports the benchmark-side discussion of diversified user motivations and the visitor-experience dimension later proposed for the Camino de Lengerke.,Introduction; Results and Discussion; Table 4
CLUSTER_A_CAMINO_ROUTES_003,"Mroz, F. (2021). The Impact of COVID-19 on Pilgrimages and Religious Tourism in Europe During the First Six Months of the Pandemic. Journal of Religion and Health. DOI: 10.1007/s10943-021-01201-0",10.1007/s10943-021-01201-0,Journal of Religion and Health,2021,Yes,SCImago Religious Studies ranking shows Journal of Religion and Health as Q1; verified 2026-04-06 using latest available Scopus-based profile data.,Yes,Research results have shown that the tourism and pilgrimage movement to the analysed shrines decreased by 90–95% during the first six months of the pandemic.,Abstract,RES,Supports the benchmark-side discussion of resilience and external shocks affecting pilgrimage routes.,Introduction; Results and Discussion; Table 3
CLUSTER_B_SUSTAINABLE_DEVELOPMENT_005,"Buckley, R. (2012). Sustainable tourism: Research and reality. Annals of Tourism Research. DOI: 10.1016/j.annals.2012.02.003",10.1016/j.annals.2012.02.003,Annals of Tourism Research,2012,Yes,"SCImago Tourism, Leisure and Hospitality Management ranking for 2012 shows Annals of Tourism Research as Q1; verified 2026-04-06.",Yes,"Of the ~5000 relevant publications, very few attempt to evaluate the entire global tourism sector in terms which reflect global research in sustainable development. The industry is not yet close to sustainability.",Abstract,SUST,Anchors the chapter's caution against idealized uses of the sustainable tourism label and helps define the sustainability gap in the Colombian case.,Introduction; Results and Discussion; Table 3
CLUSTER_B_SUSTAINABLE_DEVELOPMENT_006,"Liu, Z. (2003). Sustainable Tourism Development: A Critique. Journal of Sustainable Tourism. DOI: 10.1080/09669580308667216",10.1080/09669580308667216,Journal of Sustainable Tourism,2003,Yes,"SCImago Tourism, Leisure and Hospitality Management ranking for 2003 shows Journal of Sustainable Tourism as Q1; verified 2026-04-06.",Yes,"the sustainable tourism debate is patchy, disjointed and often flawed with false assumptions and arguments.",Abstract,SUST,Supports a critical and non-rhetorical definition of sustainable tourism and justifies treating the Lengerke case as a gap problem rather than a promotional narrative.,Introduction; Results and Discussion; Table 3
CLUSTER_B_SUSTAINABLE_DEVELOPMENT_007,"Aas, C., Ladkin, A., & Fletcher, J. (2005). Stakeholder collaboration and heritage management. Annals of Tourism Research. DOI: 10.1016/j.annals.2004.04.005",10.1016/j.annals.2004.04.005,Annals of Tourism Research,2005,Yes,SCImago journal history and category rankings show Annals of Tourism Research in Q1 across the relevant tourism and development categories; verified 2026-04-06.,Yes,The purpose is to examine stakeholder collaboration and management roles as well as the interdependence of the heritage conservation and tourism development.,Abstract,GOV,Provides direct support for treating the Camino de Lengerke as a governance problem linking conservation and tourism rather than as a standalone heritage narrative.,Introduction; Results and Discussion; Table 4
CLUSTER_C_COMPETITIVENESS_VALUE_CREATION_008,Technological disruptions in services: lessons from tourism and hospitality. (2019). Journal of Service Management. DOI: 10.1108/JOSM-12-2018-0398,10.1108/JOSM-12-2018-0398,Journal of Service Management,2019,Yes,"SCImago profile shows Journal of Service Management as Q1 in Tourism, Leisure and Hospitality Management and Strategy and Management for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2019 quartile.",Yes,"Technological disruptions such as the Internet of Things and autonomous devices, enhanced analytical capabilities (artificial intelligence) and rich media (virtual and augmented reality) are creating smart environments that are transforming industry structures, processes and practices.",Abstract,COMP,"Supports the competitiveness argument by linking technology disruption, service ecosystems, and value co-creation in tourism and hospitality.",Results and Discussion
CLUSTER_C_COMPETITIVENESS_VALUE_CREATION_009,"Buhalis, D. (2020). Technology in tourism-from information communication technologies to eTourism and smart tourism towards ambient intelligence tourism: A perspective article. Tourism Review. DOI: 10.1108/TR-06-2019-0258",10.1108/TR-06-2019-0258,Tourism Review,2020,Yes,"SCImago profile shows Tourism Review as Q1 in Tourism, Leisure and Hospitality Management and Geography, Planning and Development for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2020 quartile.",Yes,Technology revolutionises the tourism industry and determines the strategy and competitiveness of tourism organizations and destinations.,Introduction,COMP,Supports the digital-competitiveness discussion and the argument that route information and visibility are part of sustainability conditions.,Results and Discussion; Table 3; Table 4
CLUSTER_A_CAMINO_ROUTES_011,"Sati, V. P. (2026). Tourism and livelihood sustainability in the Garhwal Himalaya. Discover Sustainability. DOI: 10.1007/s43621-025-02433-w",10.1007/s43621-025-02433-w,Discover Sustainability,2026,Yes,"SCImago profile shows Discover Sustainability as Q1 in Geography, Planning and Development for 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2026 quartile.",Yes,"Tourism, particularly pilgrimage tourism, in the Garhwal Himalaya is a centuries-old practice. It contributes significantly to enhancing employment, income, and livelihood, as many people are engaged in it.",Abstract,VALUE,Supports the benchmark-side claim that pilgrimage routes can connect route use with livelihood sustainability and distributed local value.,Introduction; Results and Discussion; Table 3; Table 4
CLUSTER_A_CAMINO_ROUTES_015,"The Kingdom of Pepper and Colonial Resistance: Transforming Historical and Cultural Heritage into a Source of Sustainable Tourism in Aceh, Indonesia. (2025). International Journal of Conservation Science. DOI: 10.36868/IJCS.2025.04.22",10.36868/IJCS.2025.04.22,International Journal of Conservation Science,2025,,,Yes,,,,,
CLUSTER_A_CAMINO_ROUTES_016,"Grocutt, S., & Wood, C. (2025). Walking with purpose: Eight solo women's pilgrimage hiking and wellbeing experiences on the Via Francigena. Journal of Outdoor Recreation and Tourism, 52, 100943. DOI: 10.1016/j.jort.2025.100943",10.1016/j.jort.2025.100943,Journal of Outdoor Recreation and Tourism,2025,,,Yes,"The study concludes that solo pilgrimage walking improved participants sense of wellbeing by building identity and resilience, and that the search for community was an important part of solo pilgrimage walking experience.",Abstract,PILG,"Supports the benchmark-side discussion of wellbeing, resilience, and community-seeking outcomes in contemporary pilgrimage walking.","Introduction; Results and Discussion; Table 4"
CLUSTER_A_CAMINO_ROUTES_018,"Kuniyal, J. C., Maiti, P., Kanwar, N., Dhyani, R., & Nand, M. (2025). Carrying capacity and strategic planning for sustainable tourism practices in the Char Dham from the Western Himalaya, India. Scientific Reports, 15, 36340. DOI: 10.1038/s41598-025-20166-8",10.1038/s41598-025-20166-8,Scientific Reports,2025,Yes,"SCImago journal profile shows Scientific Reports as Q1 in Multidisciplinary for SJR 2024; verified 2026-04-06. This is current-profile verification, not article-year-specific 2025 quartile.",Yes,The work provides a comprehensive framework aiming at sustainable tourism harmonizing with local economies and surrounding environment.,Abstract,METH,Supports the benchmark-side discussion of carrying capacity route limits and sustainable planning in pilgrimage destinations.,Introduction; Results and Discussion; Table 4
