source_id,target_id,source_case,target_case,source_country,target_country,weight,relation_reasons,source_longitude,source_latitude,target_longitude,target_latitude
7265,6462,"Bratislava LNG terminal cancellation, Slovakia","NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland",Slovakia,Ireland,11,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_status:Cancelled / suspended; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,17.107748,48.148598,-8.326987603,51.837827994
7077,6465,"Floating Storage and Regasification Unit in the port of Piombino, Italy","Le Havre LNG Floating Storage and Regasification Unit, France",Italy,France,11,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:FSRU; same_status:Operating; same_eu_link; shared_groups:Local residents|Workers,10.559038062,42.93942814,0.188992,49.467955
5825,4856,"Novatek's two gas fields in Yamalsky nature reserve, Yamal, Russia","Yamal Mega natural gas project, Arctic Russia",Russia,Russia,11,same_core_group:Russia; same_supply_role:Export / extraction; same_infrastructure:Extraction / gas field; same_eu_link; shared_impacts:[object Object]; shared_groups:Indigenous communities|Local residents,70.78,68.01,68.492,70.375
6949,6785,"Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium","Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain",Belgium,Spain,11,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_status:Operating; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,3.21622,51.352316,-0.2152,39.6329
7241,6785,"Protests in Huelva against the use of liquefied gas, Spain","Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain",Spain,Spain,11,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_status:Operating; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-6.95022583,37.251100652,-0.2152,39.6329
7241,6949,"Protests in Huelva against the use of liquefied gas, Spain","Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium",Spain,Belgium,11,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_status:Operating; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-6.95022583,37.251100652,3.21622,51.352316
7265,2585,"Bratislava LNG terminal cancellation, Slovakia","LNG Shannon terminal, Ireland",Slovakia,Ireland,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_status:Cancelled / suspended; same_eu_link; shared_groups:Local residents,17.107748,48.148598,-9.44343,52.57947
7265,6785,"Bratislava LNG terminal cancellation, Slovakia","Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain",Slovakia,Spain,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,17.107748,48.148598,-0.2152,39.6329
7265,6949,"Bratislava LNG terminal cancellation, Slovakia","Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium",Slovakia,Belgium,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,17.107748,48.148598,3.21622,51.352316
7265,6463,"Bratislava LNG terminal cancellation, Slovakia","Rügen LNG import terminal, Germany",Slovakia,Germany,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,17.107748,48.148598,13.587524,54.483347
6749,6721,"Cove Point LNG export terminal, USA","LNG terminal development at a contaminated DuPont Chemical Site, Greenwich Township, New Jersey",United States,United States,10,same_core_group:US East Coast (provisional); same_supply_role:Export / extraction; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-76.410427259,38.388170036,-75.292667,39.829111
7077,6785,"Floating Storage and Regasification Unit in the port of Piombino, Italy","Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain",Italy,Spain,10,same_core_group:Europe; same_supply_role:Import / regasification; same_status:Operating; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents|Workers,10.559038062,42.93942814,-0.2152,39.6329
7077,6631,"Floating Storage and Regasification Unit in the port of Piombino, Italy","Predator's 'Mag Mell'  LNG Floating Storage and Regasification Unit (FSRU), Cork, Ireland",Italy,Ireland,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:FSRU; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,10.559038062,42.93942814,-8.280944824,51.541210613
6785,6284,"Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain","Brunsbüttel LNG Terminal, Germany",Spain,Germany,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_status:Operating; same_eu_link; shared_groups:Local residents,-0.2152,39.6329,9.188318543,53.894965175
6785,6462,"Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain","NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland",Spain,Ireland,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-0.2152,39.6329,-8.326987603,51.837827994
6785,6463,"Liquefied Natural Gas (LNG) Terminal in Sagunto, Spain","Rügen LNG import terminal, Germany",Spain,Germany,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-0.2152,39.6329,13.587524,54.483347
6462,2585,"NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland","LNG Shannon terminal, Ireland",Ireland,Ireland,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_status:Cancelled / suspended; same_eu_link; shared_groups:Local residents,-8.326987603,51.837827994,-9.44343,52.57947
6949,6284,"Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium","Brunsbüttel LNG Terminal, Germany",Belgium,Germany,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_status:Operating; same_eu_link; shared_groups:Local residents,3.21622,51.352316,9.188318543,53.894965175
6949,6462,"Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium","NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland",Belgium,Ireland,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,3.21622,51.352316,-8.326987603,51.837827994
6949,6463,"Occupation in 2023 of Fluxys' LNG terminal in Zeebrugge, Belgium","Rügen LNG import terminal, Germany",Belgium,Germany,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,3.21622,51.352316,13.587524,54.483347
7241,7265,"Protests in Huelva against the use of liquefied gas, Spain","Bratislava LNG terminal cancellation, Slovakia",Spain,Slovakia,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-6.95022583,37.251100652,17.107748,48.148598
7241,6284,"Protests in Huelva against the use of liquefied gas, Spain","Brunsbüttel LNG Terminal, Germany",Spain,Germany,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_status:Operating; same_eu_link; shared_groups:Local residents,-6.95022583,37.251100652,9.188318543,53.894965175
7241,6462,"Protests in Huelva against the use of liquefied gas, Spain","NextDecade Liquid Natural Gas (LNG) Terminal, Cork, Ireland",Spain,Ireland,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-6.95022583,37.251100652,-8.326987603,51.837827994
7241,6463,"Protests in Huelva against the use of liquefied gas, Spain","Rügen LNG import terminal, Germany",Spain,Germany,10,same_core_group:Europe; same_supply_role:Import / regasification; same_infrastructure:LNG terminal; same_eu_link; shared_impacts:[object Object]; shared_groups:Local residents,-6.95022583,37.251100652,13.587524,54.483347
